order_date,Total_orders,total_spd_orders,spd_orders_%,distance<200m_orders,diff200-500mtrs,diff500mtrs-2kms,diff2-4kms,diff4-6kms,diff6-8kms,diff>8kms,time<1_orders,speed>250kmph_orders,city_threshold_orders,base_fare_total,estimated_fare,expected_commission
2022-12-06,848085,13030,1.54,10593,800143,20428,5762,3062,2315,5795,9651,1671,104,182540.0,460459.0,92091.79999999682
2022-12-07,859849,12990,1.51,10657,810558,20940,6048,3220,2466,5970,9532,1612,98,184054.0,437807.0,87561.39999999819
2022-12-08,843200,12344,1.46,9944,795653,20407,5959,3133,2446,5667,9042,1628,95,174737.0,425967.0,85193.40000000088
2022-12-09,817988,12359,1.51,9927,770632,20017,5828,3130,2466,5995,9063,1627,85,175534.0,430694.0,86138.80000000123
2022-12-10,770957,12164,1.58,9806,723378,20230,6020,3072,2521,5946,8783,1534,111,175261.5,447665.0,89533.00000000204
2022-12-11,626847,11242,1.79,9200,585790,17174,5048,2735,2104,4809,8202,1260,88,166815.0,443140.0,88628.00000000217
2022-12-12,802324,12370,1.54,9764,755886,20045,5809,3091,2439,5299,9228,1743,110,178235.0,457321.0,91464.2000000009
2022-12-13,813650,12168,1.5,9965,767857,19597,5654,3008,2315,5264,8944,1517,86,173947.5,432236.0,86447.20000000088
2022-12-14,866772,13111,1.51,10734,817597,20944,5969,3203,2388,5949,9476,1635,102,186135.0,495491.0,99098.19999999531
2022-12-15,853167,12755,1.5,10402,804920,20406,5946,3264,2415,5824,9299,1620,85,177899.5,460392.0,92078.40000000189
2022-12-16,885842,13251,1.5,10875,835132,21467,6257,3339,2590,6194,9667,1672,88,184649.0,459867.0,91973.40000000164
2022-12-17,880166,13798,1.57,11455,825360,23031,6921,3689,2825,6905,9915,1581,107,193124.0,499091.0,99818.19999999893
2022-12-18,698884,12679,1.81,10509,652547,19136,5609,2993,2290,5811,9317,1428,94,181248.0,475058.0,95011.60000000164
2022-12-19,878664,13456,1.53,10981,828297,21217,6154,3314,2591,6117,9846,1700,91,188798.5,487033.0,97406.59999999985
2022-12-20,849011,11529,1.36,9327,803749,20040,5696,2947,2177,5091,8239,1617,86,156951.0,410697.0,82139.40000000234
2022-12-21,860649,11998,1.39,9795,813914,20331,6037,3090,2315,5179,8485,1614,90,163895.0,431854.0,86370.8000000018
2022-12-22,853931,11581,1.36,9491,807484,20376,6002,3065,2345,5184,8214,1503,78,158305.5,402120.0,80424.00000000217
2022-12-23,881024,11823,1.34,9501,832214,21527,6545,3221,2422,5609,8389,1646,92,160224.5,409877.0,81975.39999999934
2022-12-24,832436,11786,1.42,9617,782628,22020,6456,3317,2581,5828,8275,1571,116,162169.0,424295.0,84859.00000000143
2022-12-25,649820,10353,1.59,8535,607900,18625,5542,2712,2003,4516,7146,1271,98,142993.5,376622.0,75324.40000000218
2022-12-26,789825,11274,1.43,9238,745477,19590,5700,2894,2146,4796,7925,1427,105,152819.5,403908.0,80781.60000000255
2022-12-27,780865,10760,1.38,8783,738587,18630,5275,2776,2040,4780,7695,1379,88,145055.5,361341.0,72268.20000000276
2022-12-28,794004,11227,1.41,9056,750569,19118,5583,2785,2173,4732,8042,1486,96,151965.5,380295.0,76059.00000000234
2022-12-29,778735,10990,1.41,8954,735611,18744,5437,2946,2218,4837,7932,1446,77,148990.5,366347.0,73269.40000000231
2022-12-30,834513,11896,1.43,9697,787489,20429,6058,3133,2359,5357,8521,1545,93,163589.5,433495.0,86699.00000000001
2022-12-31,832115,12760,1.53,10467,778980,23228,6873,3520,2670,6386,8954,1640,137,172323.0,453396.0,90679.20000000039
2023-01-01,625650,10053,1.61,8279,582727,18811,5559,2772,2158,5358,7053,1190,109,138515.5,392668.0,78533.60000000139
2023-01-02,827587,10953,1.32,8841,783069,19825,5485,2937,2191,5259,7868,1456,101,148505.5,395660.0,79132.00000000183
2023-01-03,809067,10934,1.35,8840,766371,18850,5438,2796,2123,4664,7820,1503,96,147256.0,387966.0,77593.20000000238
2023-01-04,823071,11226,1.36,9134,778716,19555,5570,2925,2256,4928,8071,1484,77,151918.5,397895.0,79579.00000000228
2023-01-05,812131,10948,1.35,8929,768508,19347,5618,2762,2073,4912,7908,1445,78,147891.5,390517.0,78103.40000000256
2023-01-06,834056,11403,1.37,9359,763170,43642,7252,3119,2255,5272,8348,1474,82,152900.0,386357.0,77271.40000000267
2023-01-07,871531,12669,1.45,10406,790830,49724,8034,3604,2725,6219,9081,1601,93,171770.0,430203.0,86040.60000000216
2023-01-08,695183,11000,1.58,9028,624922,43946,7038,3015,2211,5035,7814,1367,96,148951.0,367036.0,73407.20000000282
2023-01-09,859056,11989,1.4,9821,784987,45949,7327,3300,2351,5331,8594,1564,83,160253.0,396151.0,79230.2000000031
2023-01-10,840770,11809,1.4,9660,768554,44427,7327,3252,2291,5270,8514,1523,87,159127.5,397803.0,79560.60000000286
2023-01-11,873486,12474,1.43,10202,797019,47185,7607,3436,2460,5590,8934,1641,70,167895.5,396758.0,79351.60000000287
2023-01-12,867455,12493,1.44,10217,790147,47625,7927,3426,2453,5674,9035,1625,98,168728.0,416449.0,83289.8000000021
2023-01-13,828825,11937,1.44,9782,752518,47087,7799,3395,2495,5763,8646,1555,116,161171.0,393835.0,78767.000000003
2023-01-14,644771,9874,1.53,8018,582245,39072,6309,2725,1965,4453,7038,1329,81,136625.5,321846.0,64369.200000002056
2023-01-15,499989,8337,1.67,6883,449281,31265,5032,2137,1612,3790,5968,1044,73,116553.5,285665.0,57133.000000001186
2023-01-16,674420,9881,1.47,8006,615155,36919,5644,2525,1870,4309,7199,1333,90,134612.5,323174.0,64634.80000000283
2023-01-17,726055,10623,1.46,8637,663309,38800,6090,2757,1993,4481,7841,1454,78,144697.0,359066.0,71813.20000000222
2023-01-18,766136,11117,1.45,9003,699717,41088,6488,2905,2157,4790,8131,1526,96,150288.5,374464.0,74892.80000000275
2023-01-19,757126,11383,1.5,9244,693238,38785,6305,2862,2118,4589,8395,1527,74,152705.0,377107.0,75421.40000000074
2023-01-20,786463,12028,1.53,9681,712691,46620,7057,3045,2312,5071,8860,1726,85,161443.5,387961.0,77592.20000000153
2023-01-21,811394,12072,1.49,9878,731245,51370,7744,3167,2434,5572,8690,1523,93,162569.5,392299.0,78459.8000000016
2023-01-22,659335,10868,1.65,8886,589333,44960,6547,2759,2096,4766,7877,1359,97,148305.0,366899.0,73379.80000000294
2023-01-23,825887,12063,1.46,9807,747498,50474,7421,3173,2310,5225,8869,1658,92,162554.0,402149.0,80429.80000000207
2023-01-24,776795,11600,1.49,9451,704741,45990,6794,2897,2144,4791,8401,1547,95,156788.5,398171.0,79634.20000000282
2023-01-25,883650,13502,1.53,11139,796415,55242,8444,3695,2701,6028,9762,1691,93,182412.5,464409.0,92881.80000000137
2023-01-26,674078,10502,1.56,8665,604091,45422,6776,2689,1889,4554,7566,1326,83,144781.5,348390.0,69678.00000000297
2023-01-27,815521,12157,1.49,9932,737996,49348,7320,3176,2325,5436,8856,1630,109,165181.5,403534.0,80706.8000000024
2023-01-28,796700,12167,1.53,9998,717858,50285,7459,3187,2414,5509,8778,1589,87,166777.0,396680.0,79336.00000000144
2023-01-29,621135,10404,1.67,8546,553545,43845,6287,2628,1854,4442,7587,1283,88,143059.5,355630.0,71126.00000000316
2023-01-30,841216,12570,1.49,10232,761800,50692,7407,3122,2424,5555,9167,1710,80,170781.0,421192.0,84238.40000000123
2023-01-31,835887,12211,1.46,9883,758250,49842,7310,3077,2256,5284,8926,1706,79,165587.5,392829.0,78565.80000000156
