order_date,Total_orders,total_spd_orders,spd_orders_%,distance<200m_orders,diff200-500mtrs,diff500mtrs-2kms,diff2-4kms,diff4-6kms,diff6-8kms,diff>8kms,time<1_orders,speed>250kmph_orders,city_threshold_orders,base_fare_total,estimated_fare,expected_commission
2022-12-27,533742,9233,1.73,7395,499120,14361,4289,2390,1831,4360,6719,1310,64,108700.5,260049.0,52009.80000000246
2022-12-28,544087,9675,1.78,7655,508505,14753,4511,2407,1969,4298,7039,1393,66,115031.5,275082.0,55016.400000002555
2022-12-29,534235,9431,1.77,7542,498908,14450,4382,2575,2003,4384,6917,1353,59,111673.5,259686.0,51937.20000000214
2022-12-30,559944,10098,1.8,8052,521884,15519,4897,2694,2089,4816,7343,1457,60,120513.5,297785.0,59557.00000000264
2022-12-31,558823,10964,1.96,8840,516052,17452,5409,2994,2358,5726,7820,1532,99,129430.0,324856.0,64971.20000000262
2023-01-01,402156,8452,2.1,6829,368801,13523,4089,2299,1855,4771,6037,1103,81,100141.5,272304.0,54460.80000000157
2023-01-02,550240,9315,1.69,7361,514245,15020,4338,2556,1941,4796,6816,1360,79,109938.5,287946.0,57589.20000000182
2023-01-03,555522,9449,1.7,7502,520387,14615,4454,2413,1916,4249,6892,1412,68,111919.0,267549.0,53509.80000000192
2023-01-04,564130,9698,1.72,7769,527639,15107,4547,2563,2037,4476,7083,1384,57,115344.5,293917.0,58783.400000001995
2023-01-05,555156,9418,1.7,7557,519983,14317,4562,2381,1862,4511,6940,1347,59,111245.5,281769.0,56353.80000000212
2023-01-06,570941,9865,1.73,7934,533349,15393,4790,2669,2034,4783,7299,1403,75,116027.0,305521.0,61104.20000000235
2023-01-07,579015,10706,1.85,8585,537392,16787,5302,2962,2370,5626,7782,1519,83,125279.0,323886.0,64777.20000000302
2023-01-08,440959,9347,2.12,7511,406399,13734,4405,2435,1947,4540,6735,1283,82,109581.0,275426.0,55085.20000000213
2023-01-09,588267,10389,1.77,8335,549396,15853,4960,2807,2090,4835,7576,1504,75,122223.0,312071.0,62414.20000000263
2023-01-10,581404,10167,1.75,8159,542879,15728,5007,2765,2071,4804,7444,1443,74,119732.5,301990.0,60398.0000000027
2023-01-11,600466,10801,1.8,8639,560202,16397,5003,2928,2204,5105,7836,1572,56,127991.5,306610.0,61322.00000000268
2023-01-12,593021,10727,1.81,8573,552862,16144,5238,2903,2188,5127,7852,1538,86,126542.0,320528.0,64105.60000000281
2023-01-13,569189,10316,1.81,8268,528749,16588,5238,2877,2236,5246,7580,1496,97,122954.0,306332.0,61266.40000000288
2023-01-14,422036,8429,2.0,6676,390204,13017,4140,2252,1758,4005,6106,1268,66,101961.5,243540.0,48708.0000000023
2023-01-15,325675,7109,2.18,5737,299865,10299,3156,1782,1423,3422,5170,990,57,86982.5,218114.0,43622.800000002244
2023-01-16,459311,8570,1.87,6799,428768,12349,3694,2129,1668,3910,6318,1268,85,103342.5,252991.0,50598.200000002296
2023-01-17,499029,9158,1.84,7271,466332,13210,4011,2359,1793,4064,6870,1395,65,110080.0,279390.0,55878.00000000165
2023-01-18,526275,9700,1.84,7695,491670,13779,4386,2483,1957,4316,7205,1463,78,116841.5,297062.0,59412.40000000249
2023-01-19,526613,9992,1.9,7950,491880,13959,4333,2436,1884,4183,7509,1468,67,120143.0,296737.0,59347.40000000279
2023-01-20,548324,10641,1.94,8400,504139,21439,5040,2613,2081,4624,7976,1659,71,128516.5,313170.0,62634.0000000026
2023-01-21,540728,10508,1.94,8417,494975,22301,5198,2676,2157,5018,7706,1455,80,125073.5,308184.0,61636.800000003226
2023-01-22,411528,9253,2.25,7404,373896,17687,4214,2254,1840,4242,6790,1280,71,110257.0,274538.0,54907.60000000297
2023-01-23,561155,10471,1.87,8325,516058,22367,5038,2668,2070,4646,7820,1592,74,124949.0,316482.0,63296.40000000261
2023-01-24,530076,10036,1.89,8018,488380,20257,4751,2454,1891,4337,7369,1476,71,119796.5,310466.0,62093.200000002646
2023-01-25,602614,11733,1.95,9496,551637,24750,5842,3111,2403,5386,8646,1618,69,140495.5,365882.0,73176.40000000311
2023-01-26,421069,8847,2.1,7134,383631,18068,4435,2169,1609,4031,6523,1256,59,105272.5,255769.0,51153.80000000287
2023-01-27,553374,10538,1.9,8417,507977,22181,5014,2711,2114,4969,7792,1561,90,126819.5,316366.0,63273.20000000292
2023-01-28,520745,10410,2.0,8357,476203,21304,5130,2678,2133,4948,7661,1523,77,124851.0,301045.0,60209.00000000292
2023-01-29,373358,8751,2.34,7010,338270,16423,3938,2120,1665,3942,6492,1207,59,104280.5,252653.0,50530.60000000293
2023-01-30,569227,10882,1.91,8661,523135,22514,5125,2613,2150,5045,8077,1634,65,130676.0,328007.0,65601.40000000328
2023-01-31,570675,10649,1.87,8446,525442,22298,5080,2622,2029,4772,7921,1619,65,128539.5,306670.0,61334.000000002816
