city,pickup_cluster,service_detail_id,week_period,time_period,demand,supply,mismatch_qr_level,fe_count,rr_count,net_count,fe_count_med,rr_count_med,net_count_med,mismtach_pred_tp,excess_supply_ratio,is_excess_supply,,Dashboard validation,
Chennai,Ambattur Industrial Estate,5bed473f1278885df4ea9d57,Wednesday,afternoon,76,48,1.5,1421,372,292,269,79,63,28,0.631578947,no,,no,
Chennai,Ambattur Industrial Estate,5bed473f1278885df4ea9d57,Wednesday,evening_peak,129,96,9.5,2568,738,574,554,149,111,33,0.744186047,no,,no,
Chennai,Ambattur Industrial Estate,5bed473f1278885df4ea9d57,Wednesday,morning_peak,100,40,8.25,1495,418,318,364,99,77,60,0.4,no,,no,
Chennai,Ambattur OT,5bed473f1278885df4ea9d57,Friday,afternoon,35,27,1,785,210,140,154,44,28,8,0.771428571,no,,no,
Chennai,Ambattur OT,5bed473f1278885df4ea9d57,Friday,evening_peak,69,42,1.5,1391,340,247,310,68,49,27,0.608695652,no,,no,
Chennai,Ambattur OT,5bed473f1278885df4ea9d57,Friday,morning_peak,52.5,73,-1.75,739,219,150,195.5,54,37,-20.5,1.39047619,yes,,yes,
Chennai,Ambattur OT,5bed473f1278885df4ea9d57,Monday,afternoon,38,36,0,774,188,130,159,34,23,2,0.947368421,no,,no,
Chennai,Ambattur OT,5bed473f1278885df4ea9d57,Monday,evening_peak,57,38,2.5,982,314,231,214,64,46,19,0.666666667,no,,no,
Chennai,Ambattur OT,5bed473f1278885df4ea9d57,Monday,morning_peak,65,24.5,6,1019,288,171,255.5,70,43.5,40.5,0.376923077,no,,no,
Chennai,Ambattur OT,5bed473f1278885df4ea9d57,Saturday,afternoon,44,29,2,1025,235,145,202,49,27,15,0.659090909,no,,no,
Chennai,Ambattur OT,5bed473f1278885df4ea9d57,Saturday,evening_peak,44,40,2,1584,282,216,296,59,47,4,0.909090909,no,,no,
Chennai,Ambattur OT,5bed473f1278885df4ea9d57,Saturday,morning_peak,52,24.5,2.75,754,206,154,189.5,50,38.5,27.5,0.471153846,no,,no,
Chennai,Ambattur OT,5bed473f1278885df4ea9d57,Sunday,afternoon,18,17,0,742,115,84,142,22,17,1,0.944444444,no,,no,
Chennai,Ambattur OT,5bed473f1278885df4ea9d57,Sunday,evening_peak,21,25,0.5,871,139,98,172,28,20,-4,1.19047619,yes,,yes,
Chennai,Ambattur OT,5bed473f1278885df4ea9d57,Sunday,morning_peak,21.5,13,1.25,551,99,77,142,25,19.5,8.5,0.604651163,no,,no,
Chennai,Ambattur OT,5bed473f1278885df4ea9d57,Thursday,afternoon,41,28,1,876,216,143,174,40,29,13,0.682926829,no,,no,
Chennai,Ambattur OT,5bed473f1278885df4ea9d57,Thursday,evening_peak,54,46,2.5,1066,310,247,211,62,48,8,0.851851852,no,,no,
Chennai,Ambattur OT,5bed473f1278885df4ea9d57,Thursday,morning_peak,60,28.5,3.5,772,243,153,192.5,55,40,31.5,0.475,no,,no,
Chennai,Ambattur OT,5bed473f1278885df4ea9d57,Tuesday,afternoon,30,51,-2,715,165,121,141,32,23,-21,1.7,yes,,yes,
Chennai,Ambattur OT,5bed473f1278885df4ea9d57,Tuesday,evening_peak,62,49,2,1000,307,226,204,67,50,13,0.790322581,no,,no,
Chennai,Ambattur OT,5bed473f1278885df4ea9d57,Tuesday,morning_peak,55.5,35.5,3,771,238,169,203,63.5,44.5,20,0.63963964,no,,no,
Chennai,Ambattur OT,5bed473f1278885df4ea9d57,Wednesday,afternoon,37,27,1,809,209,152,156,41,29,10,0.72972973,no,,no,
Chennai,Ambattur OT,5bed473f1278885df4ea9d57,Wednesday,evening_peak,58,45,0.5,1215,311,242,233,64,47,13,0.775862069,no,,no,
Chennai,Ambattur OT,5bed473f1278885df4ea9d57,Wednesday,morning_peak,59,39.5,3.5,846,250,167,221,65,45,19.5,0.669491525,no,,no,
Chennai,Anakaputhur,5bed473f1278885df4ea9d57,Friday,afternoon,58,80,-3.5,1578,357,199,310,74,37,-22,1.379310345,yes,,yes,
Chennai,Anakaputhur,5bed473f1278885df4ea9d57,Friday,evening_peak,58,113,-7,1569,305,229,291,60,46,-55,1.948275862,yes,,yes,
Chennai,Anakaputhur,5bed473f1278885df4ea9d57,Friday,morning_peak,96,40.5,6.5,1867,481,283,488.5,120.5,73,55.5,0.421875,no,,no,
Chennai,Anakaputhur,5bed473f1278885df4ea9d57,Monday,afternoon,56,70,-1,1803,368,184,367,75,36,-14,1.25,yes,,yes,
Chennai,Anakaputhur,5bed473f1278885df4ea9d57,Monday,evening_peak,51,97,-5,1459,315,221,347,62,48,-46,1.901960784,yes,,yes,
Chennai,Anakaputhur,5bed473f1278885df4ea9d57,Monday,morning_peak,110,54.5,7,2461,576,264,612.5,132.5,66.5,55.5,0.495454545,no,,no,
Chennai,Anakaputhur,5bed473f1278885df4ea9d57,Saturday,afternoon,68,113,-5.5,2232,401,237,453,81,43,-45,1.661764706,yes,,yes,
Chennai,Anakaputhur,5bed473f1278885df4ea9d57,Saturday,evening_peak,60,105,-3,2370,374,232,450,71,47,-45,1.75,yes,,yes,
Chennai,Anakaputhur,5bed473f1278885df4ea9d57,Saturday,morning_peak,76,56.5,2.5,1512,339,243,386,78,60,19.5,0.743421053,no,,no,
Chennai,Anakaputhur,5bed473f1278885df4ea9d57,Sunday,afternoon,49,141,-11.5,2317,288,178,437,61,34,-92,2.87755102,yes,,yes,
Chennai,Anakaputhur,5bed473f1278885df4ea9d57,Sunday,evening_peak,55,161,-14,2553,302,177,549,58,36,-106,2.927272727,yes,,yes,
Chennai,Anakaputhur,5bed473f1278885df4ea9d57,Sunday,morning_peak,49,53,-1.75,1501,214,142,396,54.5,40,-4,1.081632653,yes,,yes,
Chennai,Anakaputhur,5bed473f1278885df4ea9d57,Thursday,afternoon,51,72,-1.5,1430,356,198,301,69,37,-21,1.411764706,yes,,yes,
