city,pickup_cluster,service_detail_id,week_period,time_period,demand,supply,mismatch_qr_level,fe_count,rr_count,net_count,fe_count_med,rr_count_med,net_count_med,mismtach_pred_tp,excess_supply_ratio,is_excess_supply,unique_name,dashboard validation,Note
Hyderabad,Amberpet,574013f14fdf4798208bba26,Monday,morning_peak,163.5,53.5,13.25,3800,680,395,944.5,173,95,110,0.327217125,no,Amberpet_Monday,,
Hyderabad,Amberpet,574013f14fdf4798208bba26,Saturday,afternoon,83,97,-1,2959,466,382,594,90,78,-14,1.168674699,yes,Amberpet_Saturday,,
Hyderabad,Amberpet,574013f14fdf4798208bba26,Saturday,evening_peak,102,118,-3.5,3360,508,355,664,104,72,-16,1.156862745,yes,Amberpet_Saturday,,
Hyderabad,Amberpet,574013f14fdf4798208bba26,Saturday,morning_peak,132.5,89.5,5.25,2267,537,414,612.5,139.5,105,43,0.675471698,no,Amberpet_Saturday,,
Hyderabad,Amberpet,574013f14fdf4798208bba26,Sunday,afternoon,110,93,-1,3863,504,366,806,100,74,17,0.845454545,no,Amberpet_Sunday,,
Hyderabad,Amberpet,574013f14fdf4798208bba26,Sunday,evening_peak,106,103,3,4459,533,356,895,106,66,3,0.971698113,no,Amberpet_Sunday,,
Hyderabad,Amberpet,574013f14fdf4798208bba26,Sunday,morning_peak,100,74.5,1.5,2067,379,283,537,103,75,25.5,0.745,no,Amberpet_Sunday,,
Hyderabad,Amberpet,574013f14fdf4798208bba26,Thursday,afternoon,81,71,3,4097,524,252,763,78,51,10,0.87654321,no,Amberpet_Thursday,,
Hyderabad,Amberpet,574013f14fdf4798208bba26,Thursday,evening_peak,77,87,-0.5,3952,431,205,894,83,39,-10,1.12987013,yes,Amberpet_Thursday,,
Hyderabad,Amberpet,574013f14fdf4798208bba26,Thursday,morning_peak,172.5,55.5,12.75,6959,719,286,1867.5,180.5,70.5,117,0.32173913,no,Amberpet_Thursday,,
Hyderabad,Amberpet,574013f14fdf4798208bba26,Tuesday,afternoon,103,63,5,4342,589,313,862,106,57,40,0.611650485,no,Amberpet_Tuesday,,
Hyderabad,Amberpet,574013f14fdf4798208bba26,Tuesday,evening_peak,107,99,-0.5,3504,544,264,712,96,59,8,0.925233645,no,Amberpet_Tuesday,,
Hyderabad,Amberpet,574013f14fdf4798208bba26,Tuesday,morning_peak,238,57.5,21.5,5328,1025,376,1446.5,279.5,95,180.5,0.241596639,no,Amberpet_Tuesday,,
Hyderabad,Amberpet,574013f14fdf4798208bba26,Wednesday,afternoon,103,65,4,4233,524,288,825,108,54,38,0.631067961,no,Amberpet_Wednesday,,
Hyderabad,Amberpet,574013f14fdf4798208bba26,Wednesday,evening_peak,105,85,3.5,3766,586,246,820,113,49,20,0.80952381,no,Amberpet_Wednesday,,
Hyderabad,Amberpet,574013f14fdf4798208bba26,Wednesday,morning_peak,195.5,61.5,17.25,3855,799,421,970,187.5,107,134,0.314578005,no,Amberpet_Wednesday,,
Hyderabad,Ameenpur,574013f14fdf4798208bba26,Friday,afternoon,147,273,-8.5,5159,914,658,992,173,139,-126,1.857142857,yes,Ameenpur_Friday,yes,
Hyderabad,Ameenpur,574013f14fdf4798208bba26,Friday,evening_peak,197,211,2,5435,1074,765,1117,219,147,-14,1.07106599,yes,Ameenpur_Friday,yes,Change in two week
Hyderabad,Ameenpur,574013f14fdf4798208bba26,Friday,morning_peak,215.5,81.5,18,8074,934,559,1877.5,228.5,142,134,0.378190255,no,Ameenpur_Friday,no,
Hyderabad,Ameenpur,574013f14fdf4798208bba26,Monday,afternoon,200,212,-1.5,5240,954,720,1074,189,152,-12,1.06,yes,Ameenpur_Monday,yes,
Hyderabad,Ameenpur,574013f14fdf4798208bba26,Monday,evening_peak,201,293,-6.5,4727,1033,788,965,205,151,-92,1.457711443,yes,Ameenpur_Monday,yes,
Hyderabad,Ameenpur,574013f14fdf4798208bba26,Monday,morning_peak,369.5,96.5,33,8940,1879,729,2267,463,182,273,0.261163735,no,Ameenpur_Monday,no,
Hyderabad,Ameenpur,574013f14fdf4798208bba26,Saturday,afternoon,174,239,-14,7058,960,701,1438,188,136,-65,1.373563218,yes,Ameenpur_Saturday,yes,
Hyderabad,Ameenpur,574013f14fdf4798208bba26,Saturday,evening_peak,249,246,2.5,7513,1280,893,1596,270,189,3,0.987951807,no,Ameenpur_Saturday,yes,
Hyderabad,Ameenpur,574013f14fdf4798208bba26,Saturday,morning_peak,217.5,137,9.25,4286,873,702,1023.5,226,179,80.5,0.629885057,no,Ameenpur_Saturday,no,
Hyderabad,Ameenpur,574013f14fdf4798208bba26,Sunday,afternoon,189,298,-16.5,7929,963,686,1571,191,139,-109,1.576719577,yes,Ameenpur_Sunday,yes,
Hyderabad,Ameenpur,574013f14fdf4798208bba26,Sunday,evening_peak,213,158,7.5,8821,1202,675,1996,231,141,55,0.741784038,no,Ameenpur_Sunday,no,
Hyderabad,Ameenpur,574013f14fdf4798208bba26,Sunday,morning_peak,132,103.5,3.75,3753,621,480,872.5,148,119.5,28.5,0.784090909,no,Ameenpur_Sunday,no,
Hyderabad,Ameenpur,574013f14fdf4798208bba26,Thursday,afternoon,147,125,2,6888,771,429,1384,150,85,22,0.850340136,no,Ameenpur_Thursday,no,
Hyderabad,Ameenpur,574013f14fdf4798208bba26,Thursday,evening_peak,148,147,1,6606,891,469,1308,177,96,1,0.993243243,no,Ameenpur_Thursday,no,
Hyderabad,Ameenpur,574013f14fdf4798208bba26,Thursday,morning_peak,246.5,69,22,17273,1234,481,4688,321.5,123,177.5,0.279918864,no,Ameenpur_Thursday,no,
Hyderabad,Ameenpur,574013f14fdf4798208bba26,Tuesday,afternoon,161,136,4,7224,898,490,1334,174,100,25,0.844720497,no,Ameenpur_Tuesday,no,
Hyderabad,Ameenpur,574013f14fdf4798208bba26,Tuesday,evening_peak,185,200,1.5,5898,991,556,1108,188,114,-15,1.081081081,yes,Ameenpur_Tuesday,yes,
Hyderabad,Ameenpur,574013f14fdf4798208bba26,Tuesday,morning_peak,323,70,29,16885,1781,456,4238,460.5,114,253,0.216718266,no,Ameenpur_Tuesday,no,
Hyderabad,Ameenpur,574013f14fdf4798208bba26,Wednesday,afternoon,131,130,1,9119,779,431,1733,154,93,1,0.992366412,no,Ameenpur_Wednesday,no,
Hyderabad,Ameenpur,574013f14fdf4798208bba26,Wednesday,evening_peak,211,163,4.5,6770,1059,543,1502,217,105,48,0.772511848,no,Ameenpur_Wednesday,no,
Hyderabad,Ameenpur,574013f14fdf4798208bba26,Wednesday,morning_peak,364,75,36.75,11337,1764,599,2828,447,146.5,289,0.206043956,no,Ameenpur_Wednesday,no,
Hyderabad,Ameenpur,5a6b23725cecc70e41e35ac1,Monday,afternoon,0,0.5,-0.5,252,49,35,126,24.5,17.5,-0.5,inf,yes,Ameenpur_Monday,,
Hyderabad,Ameerpet,57370b61a6855d70057417d1,Tuesday,evening_peak,0,0.5,-0.5,330,83,24,165,41.5,12,-0.5,inf,yes,Ameerpet_Tuesday,,
Hyderabad,Ameerpet,574013f14fdf4798208bba26,Friday,afternoon,188,109,12,4230,960,644,846,190,133,79,0.579787234,no,Ameerpet_Friday,,
Hyderabad,Ameerpet,574013f14fdf4798208bba26,Friday,evening_peak,209,126,6,4973,1027,728,999,213,152,83,0.602870813,no,Ameerpet_Friday,,
Hyderabad,Ameerpet,574013f14fdf4798208bba26,Friday,morning_peak,155.5,73,9.5,4053,864,515,1010,226.5,125,82.5,0.469453376,no,Ameerpet_Friday,,
Hyderabad,Ameerpet,574013f14fdf4798208bba26,Monday,afternoon,190,90,12.5,4492,898,690,890,171,143,100,0.473684211,no,Ameerpet_Monday,,
Hyderabad,Ameerpet,574013f14fdf4798208bba26,Monday,evening_peak,197,158,6,5220,1025,757,1157,200,151,39,0.802030457,no,Ameerpet_Monday,,
