city,pickup_cluster,pickup_hex_8,usecase_tag,fe_count,requested_orders,net_orders,high_income_%,high_income_thrshld,affluence_hi_tag,fe_bucket,flag_2
Bangalore,Sarjapur,8861892285fffff,,74,10,0,27.0,32.0,Less,61-450,Less fe
Bangalore,Sarjapur,8861892283fffff,,1288,254,67,33.0,32.0,High,451-3500,Less fe
Bangalore,Sarjapur,8861892281fffff,,482,82,28,31.0,32.0,Less,451-3500,Less fe
Bangalore,Sarjapur,886189225bfffff,,141,13,3,16.0,32.0,Less,61-450,Less fe
Bangalore,Muthsandra,8861892255fffff,,63,8,0,29.0,32.0,Less,61-450,Less fe
Bangalore,Sarjapur,8861892253fffff,,59,3,1,40.0,32.0,High,0-60,Less fe
Bangalore,Muthsandra,8861892251fffff,,58,3,0,33.0,32.0,High,0-60,Less fe
Bangalore,Muthsandra,886189223dfffff,,6,1,0,0.0,32.0,Less,0-60,Less fe
Bangalore,Sarjapur,886189223bfffff,,16,1,0,33.0,32.0,High,0-60,Less fe
Bangalore,Sarjapur,8861892237fffff,,98,19,3,25.0,32.0,Less,61-450,Less fe
Bangalore,Muthsandra,8861892235fffff,,50,4,0,17.0,32.0,Less,0-60,Less fe
Bangalore,Sarjapur,8861892231fffff,,10,1,0,67.0,32.0,High,0-60,Less fe
Bangalore,Muthsandra,8861892221fffff,,6,1,0,0.0,32.0,Less,0-60,Less fe
Bangalore,Sarjapur,8861892219fffff,,54,5,0,27.0,32.0,Less,0-60,Less fe
Bangalore,Sarjapur,8861892217fffff,,12,3,0,33.0,32.0,High,0-60,Less fe
Bangalore,Sarjapur,8861892215fffff,,7,2,0,40.0,32.0,High,0-60,Less fe
Bangalore,Sarjapur,8861892213fffff,,49,4,1,14.0,32.0,Less,0-60,Less fe
Bangalore,Sarjapur,8861892211fffff,,155,25,0,20.0,32.0,Less,61-450,Less fe
Bangalore,Muthsandra,886189220dfffff,,5,1,0,0.0,32.0,Less,0-60,Less fe
Bangalore,Muthsandra,886189220bfffff,,5,3,0,0.0,32.0,Less,0-60,Less fe
Bangalore,Muthsandra,8861892209fffff,,14,2,0,33.0,32.0,High,0-60,Less fe
Bangalore,Hoskote_BLR,88618921edfffff,,185,30,13,20.0,32.0,Less,61-450,Less fe
Bangalore,Kadugodi,88618921ebfffff,Unknown,2421,583,251,32.0,32.0,Less,451-3500,Less fe
Bangalore,Hoskote_BLR,88618921e9fffff,Unknown,87,34,5,31.0,32.0,Less,61-450,Less fe
Bangalore,Kurudusonnehalli,88618921e7fffff,Unknown,285,51,23,35.0,32.0,High,61-450,Less fe
Bangalore,Hoskote_BLR,88618921e5fffff,Unknown,11,1,0,0.0,32.0,Less,0-60,Less fe
Bangalore,Kurudusonnehalli,88618921e3fffff,Unknown,3258,571,236,28.0,32.0,Less,451-3500,Less fe
Bangalore,Kurudusonnehalli,88618921e1fffff,Unknown,15,1,0,15.0,32.0,Less,0-60,Less fe
Bangalore,Columbia Asia Whitefield,88618921ddfffff,residential,10320,2193,946,37.0,32.0,High,3500+,High fe
Bangalore,Columbia Asia Whitefield,88618921dbfffff,residential,2607,487,194,45.0,32.0,High,451-3500,Less fe
Bangalore,Columbia Asia Whitefield,88618921d9fffff,residential,8267,1531,722,45.0,32.0,High,3500+,High fe
Bangalore,Whitefield Residential,88618921d7fffff,residential,3886,913,442,45.0,32.0,High,3500+,High fe
Bangalore,Whitefield D Silva Layout ,88618921d5fffff,residential,12696,3040,1228,43.0,32.0,High,3500+,High fe
Bangalore,Whitefield,88618921d3fffff,residential,10117,2473,1432,42.0,32.0,High,3500+,High fe
Bangalore,Whitefield Residential,88618921d1fffff,residential,8790,1728,794,43.0,32.0,High,3500+,High fe
Bangalore,Hoskote_BLR,88618921cdfffff,Unknown,224,45,20,32.0,32.0,Less,61-450,Less fe
Bangalore,Columbia Asia Whitefield,88618921cbfffff,residential,4362,911,355,37.0,32.0,High,3500+,High fe
Bangalore,Sarjapur,88618921c9fffff,Unknown,2969,734,264,36.0,32.0,High,451-3500,Less fe
Bangalore,Chanasandra,88618921c7fffff,residential,4915,1134,547,36.0,32.0,High,3500+,High fe
Bangalore,Chanasandra,88618921c5fffff,Unknown,2376,551,273,33.0,32.0,High,451-3500,Less fe
Bangalore,Chanasandra,88618921c3fffff,residential,7441,1448,619,43.0,32.0,High,3500+,High fe
Bangalore,Chanasandra,88618921c1fffff,residential,6488,1604,685,38.0,32.0,High,3500+,High fe
Bangalore,Kurudusonnehalli,88618921bdfffff,Unknown,1579,346,145,35.0,32.0,High,451-3500,Less fe
Bangalore,Kurudusonnehalli,88618921bbfffff,Unknown,1926,430,166,36.0,32.0,High,451-3500,Less fe
Bangalore,Kurudusonnehalli,88618921b9fffff,Unknown,902,183,71,26.0,32.0,Less,451-3500,Less fe
Bangalore,Kurudusonnehalli,88618921b7fffff,residential,2241,487,185,37.0,32.0,High,451-3500,Less fe
Bangalore,Kurudusonnehalli,88618921b5fffff,residential,972,199,79,34.0,32.0,High,451-3500,Less fe
Bangalore,Kurudusonnehalli,88618921b3fffff,residential,2358,501,169,33.0,32.0,High,451-3500,Less fe
Bangalore,Kurudusonnehalli,88618921b1fffff,residential,2066,459,176,36.0,32.0,High,451-3500,Less fe
Bangalore,Kurudusonnehalli,88618921adfffff,,3799,795,369,40.0,32.0,High,3500+,High fe
Bangalore,Kurudusonnehalli,88618921abfffff,residential,2801,612,286,39.0,32.0,High,451-3500,Less fe
Bangalore,Kurudusonnehalli,88618921a9fffff,Unknown,3367,699,314,36.0,32.0,High,451-3500,Less fe
Bangalore,Doddabanahalli,88618921a5fffff,,1811,365,152,43.0,32.0,High,451-3500,Less fe
Bangalore,Kurudusonnehalli,88618921a3fffff,Unknown,118,20,7,29.0,32.0,Less,61-450,Less fe
Bangalore,Kurudusonnehalli,88618921a1fffff,Unknown,84,7,3,39.0,32.0,High,61-450,Less fe
Bangalore,Whitefield Residential,886189219dfffff,office,9452,1963,916,45.0,32.0,High,3500+,High fe
Bangalore,Whitefield,886189219bfffff,office,14534,2690,1248,43.0,32.0,High,3500+,High fe
Bangalore,Whitefield,8861892199fffff,residential,8915,2131,1173,41.0,32.0,High,3500+,High fe
Bangalore,Kadugodi,8861892197fffff,office,7024,1481,640,42.0,32.0,High,3500+,High fe
Bangalore,Kadugodi,8861892195fffff,Unknown,2672,528,234,45.0,32.0,High,451-3500,Less fe
Bangalore,Whitefield,8861892193fffff,residential,6886,1510,737,43.0,32.0,High,3500+,High fe
Bangalore,Whitefield Sri Sathya Sai Hospital,8861892191fffff,office,24812,4800,2006,47.0,32.0,High,3500+,High fe
Bangalore,Kadugodi,886189218dfffff,residential,6759,1555,611,36.0,32.0,High,3500+,High fe
Bangalore,Kadugodi Forest,886189218bfffff,office,12975,2751,1435,44.0,32.0,High,3500+,High fe
Bangalore,Kadugodi,8861892189fffff,residential,11278,2335,1100,41.0,32.0,High,3500+,High fe
Bangalore,Kurudusonnehalli,8861892187fffff,Unknown,1095,248,108,36.0,32.0,High,451-3500,Less fe
Bangalore,Kurudusonnehalli,8861892185fffff,educational,4699,822,365,35.0,32.0,High,3500+,High fe
Bangalore,Kadugodi,8861892183fffff,Unknown,113,14,7,30.0,32.0,Less,61-450,Less fe
Bangalore,Kadugodi,8861892181fffff,residential,543,115,52,25.0,32.0,Less,451-3500,Less fe
Bangalore,Hoskote_BLR,886189216bfffff,,23,3,0,30.0,32.0,Less,0-60,Less fe
Bangalore,Hoskote_BLR,8861892169fffff,,2,1,0,0.0,32.0,Less,0-60,Less fe
Bangalore,Hoskote_BLR,8861892161fffff,,2,2,1,0.0,32.0,Less,0-60,Less fe
Bangalore,Hoskote_BLR,8861892157fffff,,166,47,10,30.0,32.0,Less,61-450,Less fe
Bangalore,Hoskote_BLR,8861892155fffff,,9,2,1,20.0,32.0,Less,0-60,Less fe
Bangalore,Hoskote_BLR,886189214dfffff,,7,1,0,0.0,32.0,Less,0-60,Less fe
Bangalore,Hoskote_BLR,886189214bfffff,,109,27,5,8.0,32.0,Less,61-450,Less fe
Bangalore,Hoskote_BLR,8861892149fffff,,23,1,0,0.0,32.0,Less,0-60,Less fe
Bangalore,Hoskote_BLR,8861892147fffff,,245,26,9,24.0,32.0,Less,61-450,Less fe
Bangalore,Hoskote_BLR,8861892145fffff,,167,9,2,24.0,32.0,Less,61-450,Less fe
Bangalore,Hoskote_BLR,8861892143fffff,,455,85,17,12.0,32.0,Less,451-3500,Less fe
Bangalore,Hoskote_BLR,8861892141fffff,,152,44,3,8.0,32.0,Less,61-450,Less fe
Bangalore,Hoskote_BLR,886189213dfffff,,6,2,0,0.0,32.0,Less,0-60,Less fe
