hex_8,usecase_tag
886014583bfffff,Unknown
8860169655fffff,educational
886189253dfffff,residential
88618922b7fffff,residential
8860145abdfffff,Unknown
8861892e4bfffff,residential
88618920adfffff,residential
8860145931fffff,Unknown
8861892081fffff,residential
8861892021fffff,Unknown
8860145121fffff,Unknown
8860145b01fffff,leisure
88601451edfffff,Unknown
8860145859fffff,residential
886189248dfffff,residential
886014592dfffff,health_and_personal
8860145941fffff,educational
8860145ad9fffff,transit_station
8861892193fffff,residential
8861892441fffff,household_needs
8861892cc7fffff,residential
8861892469fffff,residential
8860145a81fffff,leisure
88601459e7fffff,office
88601459c5fffff,educational
8860145841fffff,leisure
8860145b0dfffff,leisure
8861892019fffff,Unknown
8861892c35fffff,residential
8861892431fffff,residential
88601451e7fffff,Unknown
8861892f53fffff,residential
886014598dfffff,Unknown
88618926e7fffff,Unknown
88618920abfffff,office
88618924edfffff,educational
8861892731fffff,residential
8860145361fffff,Unknown
8861892ea1fffff,leisure
8860145b27fffff,residential
8861892581fffff,educational
88618924a7fffff,transit_station
8861892017fffff,Unknown
8860169755fffff,Unknown
88618924a1fffff,residential
8861892c59fffff,household_needs
8860169749fffff,residential
8861892599fffff,residential
8860145a37fffff,residential
8860169753fffff,residential
8860145321fffff,residential
886189203bfffff,Unknown
8861892ddbfffff,residential
8861892e1bfffff,office
8861892417fffff,educational
8861892db5fffff,residential
8860145b57fffff,transit_station
8861892c87fffff,residential
8861892e51fffff,residential
886014585bfffff,educational
8861892ebdfffff,educational
8860145a4dfffff,office
886189242dfffff,leisure
88618920b5fffff,residential
88601696c3fffff,Unknown
8860145827fffff,office
8861892515fffff,Unknown
88618924e9fffff,residential
8861892f59fffff,Unknown
8861892753fffff,residential
8861892c69fffff,Unknown
88618924c1fffff,residential
88601459edfffff,Unknown
88601459adfffff,Unknown
8860145a8bfffff,residential
886189244dfffff,educational
8861892c17fffff,residential
8861892d81fffff,residential
8860145b39fffff,educational
8861892c93fffff,Unknown
8861892edbfffff,Unknown
886189271dfffff,Unknown
88601458e1fffff,Unknown
8860169659fffff,residential
8861892ed3fffff,residential
8861892713fffff,Unknown
88618925c7fffff,office
8860145ac9fffff,Unknown
8860169669fffff,Unknown
88618921e7fffff,Unknown
8861892729fffff,residential
8861892687fffff,Unknown
8861892eb7fffff,Unknown
8860145b05fffff,leisure
8861892eddfffff,residential
886016966dfffff,residential
8860145909fffff,leisure
8860145b41fffff,leisure
88601696dbfffff,educational
8861892025fffff,Unknown
8861892ca9fffff,Unknown
8860169607fffff,residential
8860145937fffff,Unknown
8861892c2dfffff,residential
88601451e3fffff,Unknown
8861892e29fffff,educational
8861892e13fffff,residential
8860145959fffff,office
8860145137fffff,Unknown
8861892455fffff,Unknown
886189240bfffff,Unknown
88618920c3fffff,residential
88601459c7fffff,Unknown
8861892c3dfffff,residential
88618921e1fffff,Unknown
8860145925fffff,leisure
8861892ee3fffff,Unknown
886189251bfffff,residential
8861892c6bfffff,Unknown
8861892591fffff,residential
88601458cdfffff,leisure
